site,latitude,longitude,elevation_m,transect,species,abundance
YUS-1,-6.08,147.30,200,YUS,Paradisaea raggiana,45
YUS-1,-6.08,147.30,200,YUS,Charmosyna placentis,32
YUS-1,-6.08,147.30,200,YUS,Pitohui dichrous,18
YUS-2,-6.12,147.27,500,YUS,Paradisaea raggiana,38
YUS-2,-6.12,147.27,500,YUS,Sericornis nouhuysi,25
YUS-2,-6.12,147.27,500,YUS,Melipotes fumigatus,12
YUS-3,-6.16,147.24,800,YUS,Astrapia stephaniae,28
YUS-3,-6.16,147.24,800,YUS,Sericornis nouhuysi,41
YUS-3,-6.16,147.24,800,YUS,Melipotes fumigatus,22
YUS-4,-6.20,147.21,1100,YUS,Astrapia stephaniae,35
YUS-4,-6.20,147.21,1100,YUS,Parotia lawesii,19
YUS-4,-6.20,147.21,1100,YUS,Ifrita kowaldi,8
YUS-5,-6.24,147.18,1400,YUS,Parotia lawesii,42
YUS-5,-6.24,147.18,1400,YUS,Ifrita kowaldi,15
YUS-5,-6.24,147.18,1400,YUS,Amblyornis macgregoriae,6
YUS-6,-6.28,147.15,1700,YUS,Paradigalla brevicauda,24
YUS-6,-6.28,147.15,1700,YUS,Amblyornis macgregoriae,31
YUS-6,-6.28,147.15,1700,YUS,Melidectes belfordi,17
YUS-7,-6.32,147.12,2000,YUS,Paradigalla brevicauda,29
YUS-7,-6.32,147.12,2000,YUS,Melidectes belfordi,36
YUS-7,-6.32,147.12,2000,YUS,Pteridophora alberti,11
YUS-8,-6.36,147.09,2400,YUS,Pteridophora alberti,22
YUS-8,-6.36,147.09,2400,YUS,Melidectes belfordi,44
YUS-8,-6.36,147.09,2400,YUS,Daphoenositta chrysoptera,9
YUS-9,-6.40,147.06,2800,YUS,Daphoenositta chrysoptera,14
YUS-9,-6.40,147.06,2800,YUS,Melidectes belfordi,51
YUS-9,-6.40,147.06,2800,YUS,Pteridophora alberti,27
