site,decimalLatitude,decimalLongitude,elevation_m,tree_cover_pct,rainfall_mm,bio1,bio15,worldcover_label,stateProvince,year,gbifID,scientificName
GBIF_5459819072,-6.051637,147.18805,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5459819072,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5576134480,-6.051637,147.18805,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5576134480,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5367725248,-6.053763,147.18925,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5367725248,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5376833675,-6.053763,147.18925,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5376833675,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5380471029,-6.048604,147.19206,1183.0,99.0,3089.0,22.362499237060547,43.62090301513672,Tree cover,Morobe,2024,5380471029,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5390997775,-6.053763,147.18925,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5390997775,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5391865974,-6.053763,147.18925,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5391865974,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5421288086,-6.048604,147.19206,1183.0,99.0,3089.0,22.362499237060547,43.62090301513672,Tree cover,Morobe,2024,5421288086,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5427100220,-6.053763,147.18925,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5427100220,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5428343705,-6.053645,147.18936,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5428343705,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5432469564,-6.048604,147.19206,1183.0,99.0,3089.0,22.362499237060547,43.62090301513672,Tree cover,Morobe,2024,5432469564,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5460515484,-6.053763,147.18925,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5460515484,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5622959783,-6.048604,147.19206,1183.0,99.0,3089.0,22.362499237060547,43.62090301513672,Tree cover,Morobe,2024,5622959783,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5653662321,-6.053763,147.18925,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5653662321,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5696809272,-6.053763,147.18925,1183.0,99.8,2946.0,21.429166793823242,40.78110885620117,Tree cover,Morobe,2024,5696809272,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5151724383,-6.0719,147.1817,1183.0,99.7,2804.0,20.254167556762695,41.24840545654297,Tree cover,,2024,5151724383,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5151734382,-6.0719,147.1817,1183.0,99.7,2804.0,20.254167556762695,41.24840545654297,Tree cover,,2024,5151734382,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5151741387,-6.0719,147.1817,1183.0,99.7,2804.0,20.254167556762695,41.24840545654297,Tree cover,,2024,5151741387,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5151748390,-6.0719,147.1817,1183.0,99.7,2804.0,20.254167556762695,41.24840545654297,Tree cover,,2024,5151748390,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5301691751,-6.09272,147.1981,1813.0,98.5,2673.0,18.15416717529297,38.232601165771484,Tree cover,Morobe,2024,5301691751,"Paradisaea guilielmi Cabanis, 1888"
GBIF_5314583702,-6.09272,147.1981,1813.0,98.5,2673.0,18.15416717529297,38.232601165771484,Tree cover,Morobe,2024,5314583702,"Paradisaea guilielmi Cabanis, 1888"
